Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
At4g15520		0.8779712874396819	0.014604667663420105
At1g28250		0.6373018865830749	5.253168729980674e-05
At5g16200		0.7470056057438859	0.021145675534899596
At5g26731		0.7785463422277585	0.15898846743715261
At5g59540		0.7525855116093301	0.0892215279655224
At5g59760		0.6228069697648347	0.2541977898387475
At5g51930		0.6767136899142658	0.226510402234333
At5g48150		0.8479681357343689	0.17087975397908456
At5g18150		0.8981643601497354	0.1477129657672756
At5g02520		0.808849930114479	0.06964348971250894
At3g56050		0.60509201713404	0.02531145345432704
At3g43010		0.6452098014002168	0.2532108541669792
At4g39740		0.6991038780532683	0.27253911914136986
At4g25920		0.99883287857103	0.17027025045230393
At4g18130		0.6001499250239416	0.07706198984442994
At1g14820		0.6530296845615	0.14477528096531528
At1g27920		0.6267633351600175	0.1634280229608152
At1g19640		0.8202970162035218	0.3730217055738006
At1g16160		0.9735975987220564	0.1386743905622727
At1g22400		0.6582080758712693	0.2522534473096631
At1g11310		0.7361834897754405	0.12291630297939915
At1g13070		0.6205955737587583	0.10668286598743802
At2g34960		0.9553584903607565	0.20848366672631385
