Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
orf114	0.30124443453888394	-0.0968116957575888
At2g47590	0.26271579528612365	-0.1185246932338229
At4g16170	0.3464111983926523	-0.10138664577036749
At1g31930	0.30716104392750565	-0.11263679171443423
At1g57680	0.2974471177813811	-0.11184352932462925
At5g17010	0.3141281601892657	-0.10332717222436784
At5g15630	0.3467206037659503	-0.12275425817224209
At5g26080	0.32382089975816053	-0.09752714251278685
At5g66170	0.36060476165602506	-0.10597887040541895
At5g65420	0.3190360073951242	-0.10084632963424511
At5g65500	0.2474806288100224	-0.11801797930534268
At5g58720	0.28572995417000296	-0.1272081164435729
At5g56790	0.3211267014479225	-0.11933680605863989
At5g53880	0.3613661721736129	-0.10133098253819423
At5g39990	0.2989524921137638	-0.11338010361757392
At5g39360	0.293181125885839	-0.1258149583245153
At5g23110	0.24616664471773603	-0.1150522404902632
At5g17320	0.33204770110401466	-0.09701568157239905
At5g11000	0.27988497093411685	-0.09187761559520671
At5g10420	0.29397041232934595	-0.13303061327316063
At5g08560	0.3298671398171761	-0.11864084594986818
At5g07440	0.30897053076218695	-0.10539311735442013
At3g63290	0.28339060679824146	-0.13316185956009083
At3g56000	0.301774710286741	-0.11914395817606342
At3g54810	0.3815367414828044	-0.12494372850410951
At4g32810	0.31532976459390494	-0.10165876923661406
At4g31780	0.2982411207430322	-0.12502811328947308
At4g29530	0.3806500748082501	-0.103410325081527
At4g27890	0.37689628003615605	-0.11228433171917827
At4g27750	0.25261117040472836	-0.11376366449493215
At4g23900	0.32486287656818147	-0.10183514570518357
At4g23760	0.37315621442001523	-0.10128333583718138
At4g23420	0.3570792579337212	-0.12626035990445175
At4g22570	0.30917588625763964	-0.09393718610654499
At4g21350	0.3739165255588101	-0.1114825202961495
At4g20360	0.24181115598252897	-0.10920435544673163
At4g19540	0.28474126980021536	-0.10408578617392866
At4g13180	0.28713679431935785	-0.09537761028834987
At4g13250	0.31597218540788735	-0.13124924983393518
At4g12190	0.3366833916414113	-0.10131348651881775
At4g03550	0.27492213876685634	-0.10587858152710532
At1g30160	0.38013050150750394	-0.09357079726921969
At1g56200	0.33137896532884065	-0.10704111898793366
At3g11130	0.23449603123364235	-0.09616234480570182
At3g52290	0.36600864285572576	-0.1179639621235693
At3g21340	0.355109398630274	-0.11560580559604387
At3g13390	0.25004488850956513	-0.09862803272771609
At3g19310	0.34809797567756745	-0.11963575369818764
At3g18040	0.32193054588472975	-0.10214545973339427
At3g02990	0.36214978473579973	-0.09678930807190327
At3g04460	0.2523522285092627	-0.132542440138013
At3g10080	0.29574806436723994	-0.11524567240808971
At3g01720	0.24084323884390385	-0.13018242741419303
At3g03620	0.36539363284319404	-0.0934938667630807
At3g11410	0.35694738744106996	-0.12026314123593655
At3g01140	0.37820133152796703	-0.10032362051569997
At1g72180	0.33125721242464534	-0.09661207406077557
At1g68400	0.33813449589473166	-0.11629676298611037
At1g73260	0.34695351551995834	-0.09500653268203305
At1g73910	0.3232980666841587	-0.0918043884355682
At1g19525	0.2923998080728872	-0.130865131285063
At1g21580	0.3201846719313184	-0.12080643998964914
At1g29090	0.32303219181006804	-0.09839745255231665
At1g20090	0.3252876812448838	-0.09808315421859454
At1g44960	0.38305592280201056	-0.132682061226765
At1g16020	0.33653070780728406	-0.10443375144746787
At1g10650	0.36268700447448304	-0.09188684746015725
At1g35610	0.3734417202327819	-0.11114358874514826
At1g78070	0.34477881098096386	-0.11155017675284674
At1g74970	0.34064091990916184	-0.1126016790620631
At1g77930	0.2634110736964755	-0.11609605737065623
At1g74760	0.35799277875256214	-0.11059372479147203
At1g21790	0.26976065645354036	-0.12787159193399483
At1g15140	0.27927195292579504	-0.10865641428690911
At1g75910	0.37015050994894805	-0.09747531100829163
At1g54500	0.30916521293194593	-0.12361188246073523
At2g17250	0.27507770620516936	-0.12588507200886986
At2g35970	0.3162845419936681	-0.1147761426312686
At1g22660	0.23222152065852184	-0.11725989466109703
At1g08900	0.35525887705744125	-0.10841705904287206
At2g17900	0.3789863468550903	-0.11047653636156947
At1g61090	0.2909761781800155	-0.12492661190083061
At1g52010	0.3717984976816678	-0.09684700364853951
At2g05810	0.24543628168598355	-0.13093246838139605
At2g15695	0.3658322089830868	-0.09453923660254665
At2g42300	0.33317192812458607	-0.11808635301170119
At2g14980	0.25688631831722103	-0.096215315259303
At2g18510	0.36264023333503903	-0.09643250066618807
At2g19560	0.2549561936361886	-0.10918577989475936
At2g27550	0.2625952032307241	-0.10660824752367576
At2g29510	0.3570348776545079	-0.12547280421000323
At2g38790	0.2750320963766486	-0.11718033288613555
At2g38670	0.2696895225064413	-0.1043076109963453
At2g34190	0.310200699685595	-0.10264860428566247
