245200_at	At1g67850
245201_at	At1g67840
245202_at	At1g67720
245203_at	At3g33080
245204_at	At5g12270
245205_at	At5g12280
245206_at	At5g12290
245207_at	At5g12310
245208_at	At5g12330
245209_at	At5g12340
245210_at	At5g12350
245211_at	At5g12370
245212_at	At1g44254
245213_at	At1g44575
245214_at	At1g67855
245215_at	At1g67830
245216_at	At4g16143
245217_at	At1g38340
245218_s_at	At1g58842
245219_at	At1g59124
245220_at	At1g59171
245221_s_at	At1g59265
245222_at	At3g29787
245223_at	At3g29791
245224_at	At3g29796
245225_at	At3g29800
245226_at	At3g29970
245227_s_at	At3g30140
245228_at	At3g29810
245229_at	At4g25620
245230_at	At4g25610
245231_at	At4g25600
245232_at	At4g25590
245233_at	At4g25580
245234_at	At4g25560
245235_at	At4g25550
245236_at	At4g25540
245237_at	At4g25520
245238_at	At4g25570
245239_at	At4g25530
245240_at	At1g44510
245241_at	At1g44478
245242_at	At1g44446
245243_at	At1g44414
245244_at	At1g44350
245245_at	At1g44318
245246_at	At1g44222
245247_at	At4g17230
245248_at	At4g15415
245249_at	At4g16760
245250_at	At4g17490
245251_at	At4g17615
245252_at	At4g17500
245253_at	At4g15440
245254_at	At4g14680
245255_at	At4g14110
245256_at	At4g15090
245257_at	At4g14640
245258_at	At4g15340
245259_at	At4g14150
245260_at	At4g16360
245261_at	At4g14385
245262_at	At4g16563
245263_at	At4g17740
245264_at	At4g17245
245265_at	At4g14400
245266_at	At4g17070
245267_at	At4g14060
245268_at	At4g16570
245269_at	At4g14500
245270_at	At4g14960
245271_at	At4g16430
245272_at	At4g17250
245273_at	At4g14950
245274_at	At4g14360
245275_at	At4g15210
245276_at	At4g16780
245277_at	At4g15550
245278_at	At4g17730
245279_at	At4g17270
245280_at	At4g16845
245281_at	At4g15560
245282_at	At4g14990
245283_at	At4g13980
245284_at	At4g14210
245285_s_at	At4g14040
245286_at	At4g14880
245287_at	At4g14910
245288_at	At4g16420
245289_at	At4g15470
245290_at	At4g16490
245291_at	At4g16155
245292_at	At4g15093
245293_at	At4g16660
245294_at	At4g14340
245295_at	At4g16100
245296_at	At4g16370
245297_at	At4g16510
245298_at	At4g15010
245299_at	At4g17530
245300_at	At4g16350
245301_at	At4g17190
245302_at	At4g17695
245303_at	At4g17010
245304_at	At4g15630
245305_at	At4g17215
245306_at	At4g14690
245307_at	At4g16770
245308_at	At4g17486
245309_at	At4g15140
245310_at	At4g13950
245311_at	At4g14320
245312_at	At4g14600
245313_at	At4g15420
245314_at	At4g16745
245315_at	At4g14800
245316_at	At4g14000
245317_at	At4g15610
245318_at	At4g16985
245319_at	At4g16146
245320_at	At4g16444
245321_at	At4g15545
245322_at	At4g14815
245323_at	At4g16500
245324_at	At4g17260
245325_at	At4g14130
245326_at	At4g14100
245327_at	At4g16850
245328_at	At4g14465
245329_at	At4g14365
245330_at	At4g14930
245331_at	At4g14410
245332_at	At4g15940
245333_at	At4g14615
245334_at	At4g15800
245335_at	At4g16160
245336_at	At4g16515
245337_at	At4g16566
245338_at	At4g16442
245339_at	At4g16120
245340_at	At4g14420
245341_at	At4g16447
245342_at	At4g16720
245343_at	At4g15830
245344_at	At4g15475
245345_at	At4g16640
245346_at	At4g17090
245347_at	At4g14890
245348_at	At4g17770
245349_at	At4g16690
245350_at	At4g16830
245351_at	At4g17640
245352_at	At4g15490
245353_at	At4g16000
245354_at	At4g17600
245355_at	At4g17390
245356_at	At4g13940
245357_at	At4g17560
245358_at	At4g15900
245359_at	At4g14430
245360_at	At4g16330
245361_at	At4g17790
245362_at	At4g17460
245363_at	At4g15120
245364_at	At4g15790
245365_at	At4g17720
245366_at	At4g14965
245367_at	At4g16265
245368_at	At4g15510
245369_at	At4g15975
245370_at	At4g16840
245371_at	At4g15750
245372_at	At4g15000
245373_s_at	At4g14716
245374_at	At4g17620
245375_at	At4g17660
245376_at	At4g17690
245377_at	At4g17700
245378_at	At4g17710
245379_at	At4g17750
245380_at	At4g17760
245381_at	At4g17785
245382_at	At4g17800
245383_at	At4g17810
245384_at	At4g16790
245385_at	At4g14020
245386_at	At4g14010
245387_at	At4g17520
245388_at	At4g16410
245389_at	At4g17480
245390_at	At4g17650
245391_at	At4g16520
245392_at	At4g15680
245393_at	At4g16260
245394_at	At4g16450
245395_at	At4g17420
245396_at	At4g14870
245397_at	At4g14560
245398_at	At4g14900
245399_at	At4g17340
245400_at	At4g17040
245401_at	At4g17670
245402_at	At4g17585
245403_at	At4g17590
245404_at	At4g17610
245405_at	At4g17150
245406_at	At4g17160
245407_at	At4g17170
245408_at	At4g17180
245409_at	At4g17200
245410_at	At4g17220
245411_at	At4g17240
245412_at	At4g17280
245413_at	At4g17300
245414_at	At4g17310
245415_at	At4g17330
245416_at	At4g17350
245417_at	At4g17360
245418_at	At4g17370
245419_at	At4g17380
245420_at	At4g17410
245421_at	At4g17430
245422_at	At4g17470
245423_at	At4g17483
245424_at	At4g17505
245425_at	At4g17510
245426_at	At4g17540
245427_at	At4g17550
245428_at	At4g17570
245429_at	At4g17580
245430_at	At4g17060
245431_at	At4g17080
245432_at	At4g17100
245433_at	At4g17110
245434_at	At4g17120
245435_at	At4g17130
245436_at	At4g16620
245437_at	At4g16630
245438_at	At4g16650
245439_at	At4g16670
245440_at	At4g16680
245441_at	At4g16700
245442_at	At4g16710
245443_at	At4g16730
245444_at	At4g16740
245445_at	At4g16750
245446_at	At4g16800
245447_at	At4g16820
245448_at	At4g16860
245449_at	At4g16870
245450_at	At4g16880
245451_at	At4g16890
245452_at	At4g16910
245453_at	At4g16900
245454_at	At4g16920
