"ID_REF"	"GSM78332"	"GSM78333"	"GSM78334"	"GSM78335"	"GSM78336"	"GSM78337"	"GSM78338"	"GSM78339"	"GSM78340"	"GSM78341"	"GSM78342"	"GSM78343"
"246345_at"	384.7	299.5	378.2	300.9	316.3	356.6	478.3	376.3	441.3	517.5	436.3	394.5
"246346_at"	95.1	122.5	100.5	87.2	117.2	98.4	103.8	74.7	97.5	92.1	107.7	83.5
"246347_at"	180.1	239	232.9	200.1	255.1	228.2	215.8	211.1	206.7	202	177.9	210.3
"246348_at"	655.7	609.3	712	650.9	643	695.6	590	595.1	608.5	670.1	536.6	559.9
"246349_at"	5.4	3.2	2.7	13.8	4.3	25.5	8	2	9.9	11.6	5.7	2.4
"246350_at"	172	181.1	87.9	154.4	204.4	246.2	58	112.8	77.7	79.8	142.9	143.7
"246351_at"	392	417	408.6	424.2	386.5	369.8	352.3	348.1	380.3	366.4	355.2	364.5
"246352_at"	6.6	2.7	7.1	3.7	4.2	4	5.2	5.5	4.4	3.3	5.7	2.4
"246353_s_at"	15.1	3.7	11.2	6.8	25.7	2.7	8.8	2.1	8.9	1	6	17.1
"246354_at"	44.4	32.5	44.7	43.3	66.2	57.5	60.7	48.4	41.5	67.8	31.9	33.6
"246355_at"	58.4	58.4	64.2	45	77.8	66.4	69.2	49.8	76.8	58.7	64.6	67
"246356_x_at"	28.2	28.3	32.1	29.6	59.6	37	39.4	36.2	34.3	44.7	21	36.9
"246357_x_at"	15.7	3.7	3.1	12.3	2.8	10.6	3.5	3.1	2	6.3	1.5	4.1
"246358_x_at"	4.4	4.1	2.2	5.4	4.8	3.9	3.8	5.9	1.2	5.1	3.9	2
"246359_x_at"	66.1	42.7	50.4	43.4	68	75.5	48.3	67.6	61.9	66.6	53.7	55.2
"246360_at"	27.7	12.1	14.2	30	32.5	10.4	1.1	16.3	2.4	19.8	15.7	2
"246361_s_at"	12.7	3.1	13.6	4.4	8.1	9.3	10.6	4.9	2.8	10.4	9.7	7.8
