Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
orf184	-0.15877216100454228	-0.018496343617389607
At2g26580	-0.2826786237775853	-0.03559451286988316
At4g15475	-0.3018418847647685	-0.04818051185888353
At4g17560	-0.25588001302137514	-0.01724506965447776
At4g16820	-0.19035496745895056	-0.04709700663464532
At4g16610	-0.19189798984323775	-0.04250688267649468
At4g16320	-0.21135752681670505	-0.011627823738932086
At4g14850	-0.28546726551957075	-0.018589745806321348
At1g28280	-0.2917796326691053	-0.013471762074818344
At1g27850	-0.17152212948676746	-0.040083639696379965
At1g26270	-0.31272936300681214	-0.021808662173773512
At5g11040	-0.24414399272225712	-0.0346089737236932
At4g36480	-0.15172828101088592	-0.022102232985794838
At4g36620	-0.2962717067633353	-0.035644221893247445
At3g44930	-0.159636766107992	-0.024112456116807707
At5g17540	-0.15425136577727766	-0.017702001733459146
At5g15680	-0.16523852007959233	-0.0379518741751317
At5g15760	-0.2704074274478367	-0.04568281532702628
At5g15020	-0.18345341860829134	-0.010436061436796545
At5g27730	-0.26112253728921203	-0.019035805829405922
At5g27970	-0.20038216742329315	-0.041091901991043914
At5g66560	-0.2054582132590133	-0.009260240926106248
At5g66300	-0.29870187023755246	-0.023883183309802297
At5g66160	-0.2336193390936904	-0.011367239094068064
At5g66230	-0.16652903858341686	-0.02210026177261227
At5g65320	-0.2708203256217869	-0.04782550477392549
At5g65310	-0.26542473901332414	-0.007149805325151478
At5g63760	-0.25150330454317854	-0.008422061517973187
At5g60750	-0.3151617451709119	-0.011862727220183429
At5g60870	-0.1687156424468773	-0.04780260837145154
At5g60730	-0.2543024530593949	-0.04789975023026589
At5g58020	-0.19393379788547485	-0.005986460666778165
At5g57655	-0.21432564630901535	-0.04257634760749342
At5g56290	-0.2419129626510496	-0.03457017709066296
At5g54800	-0.25444665311298637	-0.021876360228818514
At5g53220	-0.21509181478650846	-0.03797752301080298
At5g51400	-0.18055086716306595	-0.021729969804938413
At5g49710	-0.26326864355385976	-0.026486792065122666
At5g48090	-0.29998708128940843	-0.028125249892463646
At5g46800	-0.19331980167808077	-0.04068874914684265
At5g46420	-0.1792138044661887	-0.04476413575199036
At5g44800	-0.22264838045074584	-0.005901392805034959
At5g44560	-0.18329698693382745	-0.006451209835625512
At5g43790	-0.20679151120373662	-0.033185472511928125
At5g42110	-0.21014231069663242	-0.010094700364064095
At5g41810	-0.18044847113333948	-0.018476733709493858
At5g41240	-0.2573102066772905	-0.04313897217996674
At5g40140	-0.2607089197718582	-0.04262607556153175
At5g40210	-0.19685145471263998	-0.04297430158746469
At5g39340	-0.2609667323744561	-0.04544499930911426
At5g35520	-0.2080368263672297	-0.03227887202430257
At5g24320	-0.2901633091734783	-0.03421198830843786
At5g19150	-0.2985776830911853	-0.03254353532325333
At5g17780	-0.2711082521338065	-0.044515710836126716
At5g16440	-0.23070353395321097	-0.016560033393507936
At5g03540	-0.2793179686362101	-0.024564837063965582
At5g01800	-0.3108249400450904	-0.007403844311529089
At3g61490	-0.2195185811494731	-0.041784141477012406
At3g60600	-0.16147619652341869	-0.04613200170648421
At3g59810	-0.18505381570760815	-0.03231792227663582
At3g59790	-0.2100832459878519	-0.02252692431728903
At3g59560	-0.2605389411271071	-0.039058650762470004
At3g58690	-0.2887870249134134	-0.03631394873264514
At3g57040	-0.2363558482839874	-0.0183696887443497
At3g55160	-0.2364560995850399	-0.03005838932066039
At3g54370	-0.22783937445786262	-0.015193957953540792
At3g51370	-0.19197187221290857	-0.022616719680063724
At3g51630	-0.30960675960716577	-0.011736387829088802
At3g49680	-0.27563921640117456	-0.020197313511942573
At4g35985	-0.25782675626950624	-0.031019482986471975
At4g34840	-0.27880437548638914	-0.040936795914233395
At4g33830	-0.19950472108169098	-0.019199437243006986
At4g33350	-0.16593232306587036	-0.01579034885092901
At4g33060	-0.21360370225435227	-0.026051911867549876
At4g29560	-0.2327659525100942	-0.023670044721497693
At4g27390	-0.20587181472038074	-0.00921473128920232
At4g26500	-0.1745867420536491	-0.03580770240171657
At4g25810	-0.24315012123679744	-0.008976798105563748
At4g24050	-0.1995442076059314	-0.042701449588378265
At4g23280	-0.15271455378945514	-0.03718016252942696
At4g13460	-0.314716517121028	-0.008399481142618126
At4g12700	-0.2564599868072428	-0.03988230858087311
At4g10350	-0.2475111204242949	-0.006868172383357128
At4g08350	-0.20262134584571814	-0.020541132300628703
At4g05630	-0.16499442750344628	-0.046223016760645365
At1g16750	-0.3044470106572898	-0.022204078179595636
At1g17930	-0.207197771327915	-0.0410876848427373
At1g19230	-0.15524176799806666	-0.02530343434520495
At3g28730	-0.2815738579469984	-0.025570840016516255
At3g22920	-0.1592941883326457	-0.022400120247967295
At3g14080	-0.20622121067105426	-0.010284924606783876
At3g20200	-0.22101851727205302	-0.044369293459706846
orf107h	-0.31845618399878406	-0.01817592596444552
At2g29860	-0.25502721381555654	-0.029304224302800778
At2g24590	-0.1570356416246924	-0.04195573328635386
At3g12680	-0.17533369263814277	-0.04242175139119732
At3g12760	-0.17639507641475866	-0.009817771526326216
At3g25280	-0.19793763577154033	-0.012170045672189055
At3g26680	-0.21276125321430078	-0.028167915618020452
At3g19930	-0.27495251336050347	-0.04916975168440094
At3g16180	-0.2966686073982134	-0.019579849002176568
At3g14370	-0.1553078354391599	-0.04373929142941591
At3g04220	-0.17202641868150145	-0.03511135344340285
At3g11910	-0.29720579733378294	-0.04533451640509864
At3g01460	-0.27630582965226724	-0.006222416083197852
At3g08980	-0.31766507028109625	-0.011608105379247191
At3g11520	-0.212064923333657	-0.046580246840011996
At1g15750	-0.18772265434877705	-0.007618164035322673
At1g20550	-0.23151316391345825	-0.03351358691290177
At1g64355	-0.2538755354344621	-0.017345636933797884
At1g74120	-0.2269608385137748	-0.030472352224270152
At1g71340	-0.28154184227516377	-0.015294502300494926
At1g71480	-0.28700979517711744	-0.02735904514679018
At1g71490	-0.20999026056090744	-0.03933078762899645
At1g68830	-0.20309765768263105	-0.018758138707612636
At1g72500	-0.1732761899904971	-0.019334869084656012
At1g11060	-0.2672011576092625	-0.0073662728309228905
At1g43850	-0.18208369174845465	-0.04886774623179944
At1g06110	-0.32090425623387325	-0.018348940608091946
At1g53450	-0.24813890775110617	-0.01940582100146898
At1g75350	-0.2207103523279161	-0.034546206074744915
At1g05890	-0.1522207082024417	-0.045452546580820076
At1g28490	-0.2899269941071953	-0.012252453520422008
At1g07740	-0.21824609330354167	-0.03260057210523105
At1g71680	-0.2956147555855904	-0.019077237195147114
At1g47885	-0.2857519946852451	-0.0413268622889352
At1g11560	-0.3045656023978255	-0.01954419722980244
At1g02960	-0.2231667600002038	-0.038775029812506474
At1g52730	-0.18381860409584247	-0.01756139022842872
At1g78020	-0.28883114441755947	-0.009448670309197172
At1g53840	-0.2565876609642378	-0.010537712561065728
At1g48270	-0.23678704733003797	-0.027730806504052626
At1g13020	-0.25782764463709146	-0.04564462244359042
At1g11750	-0.22974373790033228	-0.02486360326899775
At1g64690	-0.24973424853377146	-0.03811114173847103
At1g59710	-0.19130296122320742	-0.006706676821584065
At1g75540	-0.16965059520408812	-0.019279839703704952
At1g54040	-0.2983207445365306	-0.045875458011499774
At2g13360	-0.22865280563600213	-0.025153814577362522
At2g04039	-0.23033255736937508	-0.018383917268014905
At2g04420	-0.2727903029432002	-0.009693396203844212
At2g36890	-0.2756648020694897	-0.022654210540710117
At1g78950	-0.2380541591395401	-0.00852333172253371
At1g54840	-0.28973093907283487	-0.047141548296512
At1g61790	-0.27572292302155316	-0.03094083148059281
At1g05180	-0.23831591903748117	-0.034375032071473965
At1g04590	-0.20080646850022457	-0.04703382296361836
At2g17400	-0.16873014374201967	-0.007519710872786051
At1g51210	-0.3010780980868571	-0.03406583273002906
At2g16670	-0.2110262995189333	-0.028963482988520882
At2g20850	-0.2976936682815234	-0.029019286340143377
At2g37470	-0.2711467235697977	-0.0072794308071282765
At2g02170	-0.2856493221270803	-0.03688693792876529
At2g28190	-0.22928860832114664	-0.04515584286268358
At2g46140	-0.15260581412264862	-0.015309924540574688
At2g46180	-0.17080948024388132	-0.029855313174044017
At2g35330	-0.20275762805868208	-0.012562947834990413
At2g35470	-0.22666836180229857	-0.03628020818975164
At2g25920	-0.24524441138046968	-0.03569893482452052
At2g22860	-0.16027807703891508	-0.04839555753364134
At2g34390	-0.21115466747978723	-0.018424167199852532
At2g30120	-0.20829371084712558	-0.006238077898936992
At2g42070	-0.17740417779971143	-0.014825620990527432
At2g42130	-0.3137708544995988	-0.030811640752999577
