Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
orf184		0.5462250079844688	0.5200065179330444
At2g26580		0.7200841675020031	0.5552908041810494
At4g15475		0.7198523488363355	0.6901945974807959
At4g17560		0.7320836324919404	0.5398938536810686
At4g16820		0.6281649698534228	0.5262750686272862
At4g16610		0.7759951583691561	0.5824097199729512
At4g16320		0.5855683625067984	0.5347647078852296
At4g14850		0.6049022221092197	0.5339493144854093
At1g28280		0.5682538806768387	0.5401648574464541
At1g27850		0.8553856901861182	0.6734981035867511
At1g26270		0.5998262152911342	0.5721625674199462
At5g11040		0.6541426911931929	0.7709224207059402
At4g36480		0.5401210946513588	0.597193224444555
At4g36620		0.6936702348718713	0.6033553325331551
At3g44930		0.5675798222090582	0.524237875969234
At5g17540		0.6144412024416905	0.5258333834871036
At5g15680		0.5870009729820985	0.6073083201705182
At5g15760		0.5989226558285246	0.6609338424712115
At5g15020		0.6990364622050815	0.5163880864497961
At5g27730		0.5765219866438167	0.5711587373356133
At5g27970		0.6046378555892173	0.6917937124470308
At5g66560		0.6634888222031614	0.5303766839728286
At5g66300		0.6035725770870993	0.5572931768941511
At5g66160		0.6118141496042402	0.5302486844438545
At5g66230		0.6129641928603919	0.5593469122318632
At5g65320		0.7214028625094184	0.6076302165671796
At5g65310		0.5806823946126488	0.518172438280317
At5g63760		0.6148040815839279	0.5235266494755959
At5g60750		0.5781659739463314	0.5465872836212985
At5g60870		0.967384853457867	0.6735360369665448
At5g60730		0.8798979296063894	0.6043721883818061
At5g58020		0.7532021781595428	0.5296518349429298
At5g57655		0.71882229869599	0.5583906811698949
At5g56290		0.6085023850787815	0.6279290412581282
At5g54800		0.6459058615106684	0.5943363218167941
At5g53220		0.6525267083655629	0.6029426615636242
At5g51400		0.6056335089163827	0.6034472261889885
At5g49710		0.6117949042168471	0.5557063625458818
At5g48090		0.9669399660500346	0.5691584841847206
At5g46800		0.6473881427008674	0.5812425567741868
