Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
orf184	-0.15877216100454228	-0.018496343617389607
orf153a	-0.31063531592218396	0
nad6	-0.22102683230496317	0
orf127	-0.25311271642786876	0
psbH	-0.28108725598468975	0
rbcL	-0.2672945354554753	0
At2g26570	-0.17168136644068635	0
At2g26580	-0.2826786237775853	-0.03559451286988316
At2g26600	-0.3084592874997998	0
At2g39730	-0.22278963510135133	0
At2g39725	-0.2992900991451281	0
At2g23300	-0.19266019166733594	0
At2g39850	-0.1527440019803946	0
At2g45430	-0.2824104616156613	0
At2g45450	-0.1835839201878918	0
At2g45200	-0.28147436169208084	0
At2g47570	-0.17986886063521024	0
At5g12440	-0.22061495518309054	0
At1g67740	-0.2191840303005163	0
At3g33080	-0.2349481042235252	0
At4g25540	-0.19263660218292875	0
At4g25520	-0.25829258832951874	0
At4g25530	-0.25823639118894426	0
At4g14690	-0.319683873070093	0
At4g14410	-0.24204869963140072	0
At4g15940	-0.28766657140224994	0
At4g16160	-0.3115822874798706	0
At4g14420	-0.1711827142253964	0
At4g15475	-0.3018418847647685	-0.04818051185888353
At4g15490	-0.21907502084706684	0
At4g17560	-0.25588001302137514	-0.01724506965447776
At4g17480	-0.20318828511891987	0
At4g17540	-0.31622901888696975	0
At4g17080	-0.22661030031309812	0
At4g16750	-0.23192469487316994	0
At4g16820	-0.19035496745895056	-0.04709700663464532
At4g16960	-0.162080497883373	0
At4g16610	-0.19189798984323775	-0.04250688267649468
At4g16320	-0.21135752681670505	-0.011627823738932086
At4g15330	-0.2968496089294248	0
At4g15360	-0.22124609453512245	0
At4g14760	-0.16972483524564982	0
At4g14780	-0.1916772215984951	0
At4g14850	-0.28546726551957075	-0.018589745806321348
At4g13990	-0.2909150773203653	0
At1g28327	-0.16751135704579284	0
At1g28280	-0.2917796326691053	-0.013471762074818344
At1g28230	-0.3067485979565914	0
At1g56610	-0.16819321752081662	0
At5g04150	-0.17962557426935277	0
At5g04400	-0.1588957281120515	0
At5g04360	-0.24798121387743802	0
At5g04280	-0.20762094880390786	0
At1g73400	-0.23477822363357567	0
At1g51140	-0.21991609848002924	0
At1g27850	-0.17152212948676746	-0.040083639696379965
At1g33610	-0.17391443133936677	0
At1g73540	-0.26193884594676414	0
At1g73530	-0.2276136948232891	0
At1g45616	-0.23280755774545822	0
At1g26270	-0.31272936300681214	-0.021808662173773512
At1g58380	-0.16152067642771484	0
At1g26280	-0.2623729087525403	0
At5g09500	-0.2909596376935837	0
At5g09510	-0.1635413675020247	0
At5g11040	-0.24414399272225712	-0.0346089737236932
At5g11070	-0.19139012026066068	0
At5g19770	-0.21950442428856215	0
At5g28820	-0.31928128783481463	0
At5g09320	-0.18689416467308168	0
At5g19680	-0.21601355038090997	0
At5g13180	-0.17401411226179386	0
At5g20770	-0.22041220755929586	0
At5g08290	-0.19943365961330878	0
At5g21130	-0.1999151822133235	0
At5g19420	-0.26188151506520346	0
At5g19330	-0.2826950466999362	0
At5g19360	-0.21558314634534212	0
At5g19400	-0.24671572075491485	0
At5g20420	-0.20277909267185157	0
At5g20120	-0.3144154297568568	0
At5g20200	-0.17341343612560414	0
At5g20210	-0.3132226419316981	0
At5g20930	-0.24922783610663354	0
At5g28490	-0.19800684472296884	0
At5g19980	-0.26353766023627756	0
At5g19930	-0.2680608398262002	0
At5g21040	-0.1811117188528296	0
At4g36400	-0.3187791635027191	0
At4g37000	-0.21713894521750565	0
At4g37240	-0.24863648349704762	0
At4g36480	-0.15172828101088592	-0.022102232985794838
At4g36550	-0.2531294832476033	0
At4g37280	-0.19031982844758857	0
At1g31810	-0.24810101883863084	0
At4g36620	-0.2962717067633353	-0.035644221893247445
At4g36660	-0.15773520247155068	0
At3g56710	-0.15393679155968232	0
At3g56690	-0.26033733265805914	0
At3g51830	-0.19389023205715727	0
At3g44910	-0.2625845762736298	0
At3g44930	-0.159636766107992	-0.024112456116807707
At3g56830	-0.24701462936044885	0
At1g51920	-0.15682325133618571	0
At1g51900	-0.29147861995226104	0
At1g58120	-0.25754532701005395	0
At5g17410	-0.20253182441392087	0
At5g17540	-0.15425136577727766	-0.017702001733459146
At5g17630	-0.26084504945283243	0
At5g16970	-0.2418119663770441	0
At5g17080	-0.23672025700084315	0
At5g16060	-0.1660051626425889	0
At5g15680	-0.16523852007959233	-0.0379518741751317
At5g15700	-0.3129621833844022	0
At5g15760	-0.2704074274478367	-0.04568281532702628
At5g15840	-0.26463345908814073	0
At5g15750	-0.2460159719462726	0
At5g15400	-0.17627762641620964	0
At5g15020	-0.18345341860829134	-0.010436061436796545
At5g15070	-0.24810598749131887	0
At5g14730	-0.2396214173897691	0
At5g14880	-0.23055906476132484	0
At1g50750	-0.23256542715437498	0
At5g35140	-0.1979752868232469	0
At5g32202	-0.30231280775180747	0
At5g33380	-0.18066733028603538	0
At5g28130	-0.20734844810351674	0
At5g28930	-0.23339373561098525	0
At5g28940	-0.2068910006695042	0
At5g27650	-0.15330165301962176	0
At5g27710	-0.2074479172670357	0
At5g27730	-0.26112253728921203	-0.019035805829405922
At5g27970	-0.20038216742329315	-0.041091901991043914
At5g27080	-0.1670194534727225	0
At5g26990	-0.24443580631881429	0
At5g26260	-0.24282990585288036	0
At5g26310	-0.19820703137828163	0
At5g26110	-0.19459406536320487	0
At5g25560	-0.3183877774660589	0
At5g25220	-0.19774642599217254	0
At5g04880	-0.17056369658368292	0
At5g24690	-0.30589419239351756	0
At5g24830	-0.2629017159073036	0
At5g24930	-0.2646998150135756	0
At5g67460	-0.18390498554343898	0
At5g67330	-0.1880508135928453	0
At5g67550	-0.23717505177970427	0
At5g67480	-0.27501357660162407	0
At5g67000	-0.16485380765296448	0
At5g67160	-0.22824102957719514	0
At5g67220	-0.1907327328514976	0
At5g66560	-0.2054582132590133	-0.009260240926106248
At5g66920	-0.3193043473264368	0
At5g66000	-0.16063124759591776	0
At5g66290	-0.1880980307881209	0
At5g66300	-0.29870187023755246	-0.023883183309802297
At5g66320	-0.2619913788832746	0
At5g66160	-0.2336193390936904	-0.011367239094068064
At5g65830	-0.21593957445495196	0
At5g65930	-0.299176423442587	0
At5g66050	-0.25095297966899455	0
At5g66230	-0.16652903858341686	-0.02210026177261227
At5g65700	-0.25486400629831396	0
At5g65810	-0.22729038032376547	0
At5g65320	-0.2708203256217869	-0.04782550477392549
At5g65310	-0.26542473901332414	-0.007149805325151478
At5g65210	-0.3170509769860565	0
At5g64905	-0.3016366880689279	0
At5g65050	-0.2786528362549797	0
At5g65010	-0.30782217835639514	0
At5g64920	-0.3054710003451858	0
At5g65100	-0.27763283342210354	0
At5g64970	-0.18139422113973125	0
At5g64700	-0.17107113532588963	0
At5g64770	-0.30942010898092276	0
At5g64790	-0.2631245252480231	0
At5g64080	-0.2965499534104154	0
At5g64390	-0.28802898503687346	0
At5g64420	-0.2765317316161857	0
At5g64290	-0.18455261009311633	0
At5g63930	-0.3209392062965537	0
At5g64060	-0.2855687879387411	0
At5g63530	-0.25510275072267113	0
At5g63640	-0.21676378781298597	0
At5g63690	-0.19239992895746927	0
At5g63760	-0.25150330454317854	-0.008422061517973187
At5g63810	-0.23744837317926362	0
At5g63560	-0.3003969770843069	0
At5g63135	-0.17775271799189726	0
At5g63370	-0.16114250509688818	0
At5g62960	-0.20815523543103717	0
At5g62880	-0.21651387979789286	0
At5g62800	-0.2040315144956379	0
At5g62680	-0.2909586931052494	0
At5g62260	-0.18799599012221382	0
At5g62340	-0.22618455331281065	0
At5g61840	-0.24037190673887382	0
At5g61550	-0.31688850399926805	0
At5g61700	-0.24943960650026126	0
At5g60750	-0.3151617451709119	-0.011862727220183429
At5g60870	-0.1687156424468773	-0.04780260837145154
At5g60730	-0.2543024530593949	-0.04789975023026589
At5g60270	-0.15178633962184854	0
At5g60460	-0.22931163695464316	0
At5g59990	-0.1737640599066065	0
At5g59590	-0.26134983002125917	0
At5g59240	-0.2959253372694044	0
At5g58980	-0.19327617466223906	0
At5g59020	-0.27187545323115037	0
At5g58930	-0.23342868440397174	0
At5g58660	-0.203437179452463	0
At5g58450	-0.3205850897267292	0
At5g58020	-0.19393379788547485	-0.005986460666778165
At5g58120	-0.24920728091256536	0
At5g58130	-0.2924938166682678	0
At5g58220	-0.19158444631147653	0
At5g58160	-0.28783118603092195	0
At5g57815	-0.24258111951950823	0
At5g57710	-0.20858433627860185	0
At5g57410	-0.19526040180265417	0
At5g57655	-0.21432564630901535	-0.04257634760749342
At5g57000	-0.2106338381726269	0
At5g57200	-0.161291549739895	0
At5g57100	-0.20555430950417142	0
At5g56290	-0.2419129626510496	-0.03457017709066296
At5g56450	-0.2561205881615566	0
At5g56100	-0.27228943242866877	0
At5g55500	-0.26791268769562493	0
At5g55680	-0.22143659134549698	0
At5g55260	-0.21624059033825463	0
At5g54840	-0.16326752659649882	0
At5g54800	-0.25444665311298637	-0.021876360228818514
At5g54060	-0.17800975008273692	0
At5g54130	-0.3144748721635365	0
At5g54230	-0.29737128116382083	0
At5g54000	-0.2751339718301293	0
At5g53670	-0.16526925850050475	0
At5g53220	-0.21509181478650846	-0.03797752301080298
At5g53400	-0.3176906555516129	0
At5g53450	-0.1700309627584766	0
At5g52830	-0.2659723500686942	0
At5g52670	-0.17955708363585784	0
At5g52720	-0.17918684266608087	0
At5g52420	-0.30041479680052446	0
At5g52310	-0.2911693509365484	0
At5g52160	-0.27465984330080684	0
At5g52300	-0.2488148719028939	0
At5g52470	-0.16038846424554498	0
At5g52500	-0.3020100789329293	0
At5g52170	-0.18983548880782974	0
At5g51870	-0.16351078740212668	0
At5g51710	-0.2797919587991774	0
At5g51830	-0.18526734868447006	0
At5g52000	-0.17613506526378864	0
At5g52050	-0.17264211201194438	0
At5g52070	-0.3056749143521637	0
At5g51400	-0.18055086716306595	-0.021729969804938413
At5g51420	-0.3139498309655184	0
At5g51130	-0.27650015480656215	0
At5g51040	-0.29270099786880865	0
At5g50380	-0.21963194080023007	0
At5g50390	-0.1575317849528216	0
At5g50760	-0.2574887984102192	0
At5g50000	-0.268491218508416	0
At5g49710	-0.26326864355385976	-0.026486792065122666
At5g49410	-0.17181927080696505	0
At5g49140	-0.21546805219886114	0
At5g48760	-0.1757753355405034	0
At5g48640	-0.25574828261325955	0
At5g48590	-0.24745215449432204	0
At5g48270	-0.1817638662765075	0
At5g48210	-0.20423767063420417	0
At5g48050	-0.23563799057191842	0
At5g48090	-0.29998708128940843	-0.028125249892463646
At5g48250	-0.19687482683810306	0
At5g47560	-0.27580035409801745	0
At5g47610	-0.15651706842768232	0
At5g47550	-0.2460593956140374	0
At5g47830	-0.19198426029750745	0
At5g47380	-0.31180815471519285	0
At5g47200	-0.17837948116752708	0
At5g47435	-0.19956367080155127	0
At5g47020	-0.25812343644437147	0
At5g47090	-0.2074445801245332	0
At5g46800	-0.19331980167808077	-0.04068874914684265
At5g46850	-0.1892138245160066	0
At5g46540	-0.2800532476910182	0
At5g46420	-0.1792138044661887	-0.04476413575199036
At5g46340	-0.2601128354517837	0
At5g45960	-0.15308344597721046	0
At5g45340	-0.16396237234662367	0
At5g45380	-0.19380565203816522	0
At5g44980	-0.2707127322011955	0
At5g44800	-0.22264838045074584	-0.005901392805034959
At5g44850	-0.2739654138213857	0
At5g44370	-0.21104450765959346	0
At5g44300	-0.24346480042448446	0
At5g44440	-0.20136512494643513	0
At5g44560	-0.18329698693382745	-0.006451209835625512
At5g44170	-0.25772215967764023	0
At5g44230	-0.1650632696827988	0
At5g43790	-0.20679151120373662	-0.033185472511928125
At5g43150	-0.21155381781404933	0
At5g42780	-0.23823759967583963	0
At5g42600	-0.3007650531370007	0
At5g42320	-0.2410393231690518	0
At5g42110	-0.21014231069663242	-0.010094700364064095
At5g41740	-0.16676271164855982	0
At5g41850	-0.18000357486918594	0
At5g41870	-0.21768022301755197	0
At5g41810	-0.18044847113333948	-0.018476733709493858
At5g41210	-0.19645448603307195	0
At5g41260	-0.1839045883948017	0
At5g41340	-0.2410015696043881	0
At5g41350	-0.3207390716553477	0
At5g41240	-0.2573102066772905	-0.04313897217996674
At5g40810	-0.3070784641177281	0
At5g41090	-0.3163522689167099	0
At5g40860	-0.16096378369579406	0
At5g40550	-0.20289168443339725	0
At5g40060	-0.29936098557902435	0
At5g40140	-0.2607089197718582	-0.04262607556153175
At5g40260	-0.18828682293011767	0
At5g40210	-0.19685145471263998	-0.04297430158746469
At5g40320	-0.29226027823653405	0
At5g39830	-0.24646958282370754	0
At5g39420	-0.20955759111206082	0
At5g39550	-0.2574373911497941	0
At5g39340	-0.2609667323744561	-0.04544499930911426
At5g38930	-0.18750842709479312	0
At5g38895	-0.15591927277827425	0
At5g38710	-0.2764056809892359	0
At5g38030	-0.23585885751642727	0
At5g38240	-0.19088878693213837	0
At5g37640	-0.2531750241897184	0
At5g37690	-0.20416133775720072	0
At5g37890	-0.2748345155712328	0
At5g37480	-0.2487154666680233	0
At5g37510	-0.190820404237464	0
At5g37170	-0.2577682530327837	0
At5g36890	-0.3038027595021374	0
At5g37040	-0.2601402398776597	0
At5g36700	-0.18471702042555474	0
At5g35800	-0.16125420822521327	0
At5g35510	-0.19694217311849915	0
At5g35520	-0.2080368263672297	-0.03227887202430257
At5g24430	-0.1728633294394593	0
At5g24560	-0.21346843242862537	0
At5g24610	-0.25120940643634565	0
At5g24320	-0.2901633091734783	-0.03421198830843786
At5g23720	-0.30916368683513595	0
At5g23330	-0.27000218741474075	0
At5g23290	-0.19476324235268522	0
At5g23340	-0.30290112089392407	0
At5g23450	-0.29592439643188034	0
At5g23520	-0.31084469725363695	0
At5g23000	-0.31153975436999953	0
At5g22760	-0.20197145021375632	0
At5g19250	-0.24200669709659925	0
At5g19150	-0.2985776830911853	-0.03254353532325333
At5g22360	-0.1725289676157111	0
At5g18840	-0.2902728454052084	0
At5g18780	-0.29066034429947246	0
At5g18850	-0.23330197389870116	0
At5g18470	-0.2203994131214532	0
At5g18550	-0.18856383697109927	0
At5g18040	-0.15812880886285094	0
At5g18190	-0.16884649246128264	0
At5g18230	-0.18793676201876702	0
At5g18340	-0.2045714655012386	0
At5g17730	-0.20558542604720983	0
At5g17780	-0.2711082521338065	-0.044515710836126716
At5g17830	-0.31600249290366034	0
At5g17270	-0.3106294879352579	0
At5g17360	-0.3165217564333916	0
At5g16630	-0.245502914599045	0
At5g16440	-0.23070353395321097	-0.016560033393507936
At5g14650	-0.1876543470777228	0
At5g15290	-0.269449953072094	0
At5g15340	-0.24674459851151417	0
At5g14400	-0.21656624029444557	0
At5g14580	-0.2108728029973485	0
At5g14090	-0.1998622481262311	0
At5g14120	-0.21223318088528204	0
At5g13740	-0.29240183874840087	0
At5g13750	-0.17979407121695387	0
At5g13790	-0.1591090448637565	0
At5g13000	-0.169314221854637	0
At5g12860	-0.21336820954301786	0
At5g13380	-0.16331673172301586	0
At5g13390	-0.17305491467808082	0
At5g12210	-0.19054113016077348	0
At5g12840	-0.3161436147842179	0
At5g12880	-0.233005365464392	0
At5g11800	-0.26253852890068874	0
At5g11810	-0.22958889263492538	0
At5g11850	-0.27991022525046216	0
At5g12010	-0.16825638129244394	0
At5g11280	-0.235497626224568	0
At5g11450	-0.19395953615446831	0
At5g11550	-0.17794059693188916	0
At5g11590	-0.29404972085399744	0
At5g11520	-0.2625934544820111	0
At5g11120	-0.28550255180728057	0
At5g10450	-0.23825156215298057	0
At5g10030	-0.2609080243175327	0
At5g10210	-0.2746591130102099	0
At5g09640	-0.28350779389166986	0
At5g09870	-0.2753751274054451	0
At5g09620	-0.18130227936101642	0
At5g08460	-0.27823758425944145	0
At5g08550	-0.2728514236726049	0
At5g08540	-0.1659213208742663	0
At5g08580	-0.2033397777863572	0
At5g08080	-0.16606162865166196	0
At5g08180	-0.18495730709802347	0
At5g08020	-0.3002479762111454	0
At5g08050	-0.25934547026278715	0
At5g08110	-0.31050759106923587	0
At5g07500	-0.3190320649530762	0
At5g07620	-0.2230824888372222	0
At5g07310	-0.1682511088488299	0
At5g07160	-0.25540442038974276	0
At5g06930	-0.20859606994877247	0
