Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
orf184		0.5462250079844688	0.5200065179330444
orf153a		0.6610220372304092	0
nad6		0.9474589677178292	0
orf127		0.6669469127723897	0
psbH		0.5611602079336276	0
rbcL		0.5882000658570113	0
At2g26570		0.5450621630610752	0
At2g26580		0.7200841675020031	0.5552908041810494
At2g26600		0.7097982929127515	0
At2g39730		0.563915983394099	0
At2g39725		0.5871101922497353	0
At2g23300		0.574314645710402	0
At2g39850		0.5858641651038718	0
At2g45430		0.8585704416881237	0
At2g45450		0.5816984535810649	0
At2g45200		0.6096690659827392	0
At2g47570		0.8198761315158352	0
At5g12440		0.5557129749698874	0
At1g67740		0.7763956400638992	0
At3g33080		0.6672116328294107	0
At4g25540		0.8868623537414964	0
At4g25520		0.6270015272090337	0
At4g25530		0.6833210315396161	0
At4g14690		0.8116475989128132	0
At4g14410		0.638660207994354	0
At4g15940		0.5999688872289978	0
At4g16160		0.6167225526899133	0
At4g14420		0.5866758238504786	0
At4g15475		0.7198523488363355	0.6901945974807959
At4g15490		0.6527853545346678	0
At4g17560		0.7320836324919404	0.5398938536810686
At4g17480		0.6231330739959016	0
At4g17540		0.6339715386548743	0
At4g17080		0.6698147992889427	0
At4g16750		0.5594297985969015	0
At4g16820		0.6281649698534228	0.5262750686272862
At4g16960		0.5953417910850556	0
At4g16610		0.7759951583691561	0.5824097199729512
At4g16320		0.5855683625067984	0.5347647078852296
At4g15330		0.6548681085176016	0
At4g15360		0.5780491565333563	0
At4g14760		0.6050302053979855	0
At4g14780		0.5510192877677023	0
At4g14850		0.6049022221092197	0.5339493144854093
At4g13990		0.6129222022135496	0
At1g28327		0.5407839443398056	0
At1g28280		0.5682538806768387	0.5401648574464541
At1g28230		0.8543072836553102	0
At1g56610		0.5592430122733243	0
At5g04150		0.6012186568066518	0
At5g04400		0.5570284314159748	0
At5g04360		0.685718502410019	0
At5g04280		0.7455584906179595	0
At1g73400		0.7528323048139209	0
At1g51140		0.672592964652188	0
At1g27850		0.8553856901861182	0.6734981035867511
At1g33610		0.61357065148808	0
At1g73540		0.5756855201518289	0
At1g73530		0.5668708281892345	0
At1g45616		0.9563449958757236	0
At1g26270		0.5998262152911342	0.5721625674199462
At1g58380		0.5333859310137175	0
At1g26280		0.6870098471837213	0
At5g09500		0.630554638947229	0
At5g09510		0.5451605180812639	0
At5g11040		0.6541426911931929	0.7709224207059402
At5g11070		0.6002339798827367	0
At5g19770		0.6143031822140319	0
At5g28820		0.5765957439406499	0
At5g09320		0.5486738711076242	0
At5g19680		0.7458576919915434	0
At5g13180		0.5849066413782291	0
At5g20770		0.677329482030405	0
At5g08290		0.7149016331351749	0
At5g21130		0.5466353016276482	0
At5g19420		0.8399566707375141	0
At5g19330		0.5767755674005909	0
At5g19360		0.5707596317256576	0
At5g19400		0.5969697716935033	0
