Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
orf121b		0.6736268193827867	0
orf158		0.7495706982309716	0
rps15		0.6640281509659793	0
nad9		0.8939042658175047	0
orf167		0.6419428687797741	0
ccb452		0.8968631374100073	0
ycf2.1		0.614050242629197	0
rpoC2		0.6519706321299796	0
rpoC1		0.6151756319137088	0
psbM		0.6089766796410372	0
At2g26630		0.6103632891784824	0
At2g26440		0.7459743940078898	0
At2g41550		0.6486570990723379	0
At2g41560		0.8924636832329709	0
At2g47430		0.9375683567592421	0
At2g47550		0.8312267658001765	0
At2g33080		0.6342055975414835	0
At2g33070		0.7231211443344474	0
At2g33240		0.7458674395287788	0
At2g33170		0.6840055040262865	0
At1g67660		0.8839237025752406	0
At1g67855		0.61662388512434	0
At1g59124		0.9120041527311925	0
At3g29800		0.6832101182567958	0
At4g25570		0.825170833043616	0
At4g16563		0.7823071837231967	0
At4g14880		0.7528218120002302	0
At4g16420		0.6971268489311089	0
At4g17010		0.6371892106289787	0
At4g14600		0.7114505640983126	0
At4g16985		0.7780011094514497	0
At4g16000		0.7192248038822042	0
At4g17650		0.9705675603666152	0
At4g17240		0.7747243759348336	0
At4g17350		0.9509937722123293	0
At4g17580		0.7024463286651732	0
At4g17110		0.951496272326529	0
At4g16630		0.6623293368273233	0
At4g16700		0.7349451421453237	0
At4g16920		0.8659269122396958	0
At4g16950		0.5967657000556278	0
At4g15660		0.6078234390367883	0
At4g15730		0.6596473858097834	0
At4g15230		0.9838758559674137	0
At4g15260		0.7378754366957951	0
At4g15350		0.8514177212895044	0
At4g15520		0.8779712874396819	0
At4g14380		0.6433009065169486	0
At1g24938		0.6154815736232007	0
At1g24793		0.7825939185012442	0
At1g56720		0.8410408502128608	0
At1g28250		0.6373018865830749	0
At1g28300		0.7608646945019152	0
At5g04160		0.7326949905580336	0
At5g04380		0.7712305967594209	0
At1g73390		0.6451910464963735	0
At1g73380		0.8461652214638853	0
At1g32190		0.6041917326666664	0
At1g26160		0.8177606208268835	0
At1g57943		0.8987393997420197	0
At1g26180		0.615395660808657	0
At5g13540		0.9768322244031425	0
At5g19620		0.8908841697862167	0
At5g09240		0.9253203825804508	0
At5g13160		0.8572232060882228	0.010811214472790237
At5g32480		0.7271695218073608	0
At5g28640		0.8973960116388071	0
At5g28670		0.6290640673924286	0
At5g20850		0.602306492938268	0
At5g19870		0.9333857046437556	0
At5g20050		0.7068596100129809	0
At4g36420		0.8628682142658709	0
At4g36590		0.8323001285311545	0
At4g36830		0.7092109898797662	0
At4g36670		0.6889155457194354	0
At4g36650		0.7382950151134655	0
At4g37110		0.7887582116706531	0
At4g36860		0.9199691678485002	0
At3g56820		0.8175795225563944	0
At3g56680		0.6322112676663217	0
At3g44850		0.8128342261544224	0
At3g44860		0.9263516146821852	0
At3g56700		0.7143874644316812	0
At3g56720		0.7961487512009229	0
At3g56810		0.6248150082162693	0
At1g40871		0.8344484487066636	0
At1g77350		0.6649351845796909	0
At1g57670		0.7243449219323963	0
At5g17400		0.877564924325623	0
At5g17520		0.9664174444347736	0
At5g16760		0.8501246101166292	0
At5g16850		0.9294354299562192	0
At5g16000		0.7593766749689841	0
At5g16200		0.7470056057438859	0
At5g15510		0.9842753052340681	0
At5g14940		0.734491242548106	0
At5g14950		0.7745616162975193	0
At1g31670		0.8561418120370456	0
At5g36270		0.6903314168500211	0
At5g33200		0.972180731753649	0
At5g33290		0.9211769158489712	0
At5g34450		0.8294044358074248	0
At5g29060		0.660604315796701	0
At5g28090		0.7738940560899145	0
At5g28910		0.6354483370071884	0
At5g27630		0.9132441648907176	0
At5g27940		0.6238314504596825	0
At5g27040		0.706813782925237	0
At5g27270		0.6394137182355839	0
At5g26665		0.9705455070922919	0
At5g26731		0.7785463422277585	0.1712849172254931
At5g26210		0.9728287423157215	0
At5g25950		0.6059116635571599	0
At5g25840		0.7379563223378174	0
At5g25490		0.6009539667555532	0
At5g25820		0.9113063598215498	0
At5g25860		0.7862918005770593	0
At5g25120		0.6694850014406544	0
At5g67400		0.8656529176724058	0
At5g67510		0.6074190588423302	0
At5g66140		0.8037045636903106	0
At5g66620		0.6235056102983332	0
At5g65950		0.6914890603968398	0
At5g65960		0.707365194729502	0
At5g65650		0.8398402115538307	0
At5g65685		0.6942632189494098	0
At5g65450		0.820916104862902	0
At5g65140		0.6193188809368301	0.17262956671277663
At5g64740		0.7780327949713007	0
At5g64100		0.7322347938581366	0
At5g63870		0.8117861742150746	0
At5g63960		0.7870680729608778	0
At5g64010		0.6168434945352762	0
At5g63770		0.6328539349536677	0
At5g63650		0.6355608621611415	0
At5g63620		0.8383017081438999	0
At5g63340		0.9091865325471212	0
At5g63190		0.7894273033842425	0
At5g63380		0.7386536602212316	0
At5g62840		0.6089426242901539	0
At5g62490		0.9840130395030604	0
At5g62460		0.762526148324415	0
At5g62180		0.6393978423940417	0
At5g61400		0.9811718289747635	0
At5g61110		0.6139037596843353	0.32974729819446724
